gender,weight,height,age,activity,goal,target_weight,days,calories,protein,carbs,fat
male,68,152,44,moderate,build_muscle,81,64,2507,130,359,60
female,71,178,46,moderate,gain_weight,87,41,2589,153,344,66
male,83,188,44,moderate,gain_weight,90,104,3197,166,451,80
male,85,187,21,moderate,gain_weight,97,72,3362,164,429,109
male,71,181,43,low,gain_weight,85,91,2221,137,304,50
male,92,163,27,high,build_muscle,109,109,3373,168,449,100
female,66,178,20,moderate,build_muscle,85,33,2660,136,368,71
male,81,174,49,low,gain_weight,86,170,2307,150,266,70
female,65,190,32,low,gain_weight,84,145,2196,129,262,69
female,92,189,36,high,gain_weight,111,40,3352,191,427,97
male,63,180,38,high,gain_weight,77,49,2977,133,408,89
male,77,158,35,low,lose_weight,70,164,1488,142,134,41
female,64,171,25,moderate,gain_weight,74,38,2611,103,353,87
female,70,184,30,high,build_muscle,89,129,2963,151,411,79
male,73,183,43,low,gain_weight,88,164,2283,118,336,51
male,92,157,45,moderate,gain_weight,99,126,2911,150,381,87
female,58,155,48,high,lose_weight,37,172,1340,123,144,29
male,84,165,45,low,lose_weight,75,175,1510,152,115,48
female,50,165,18,high,gain_weight,65,164,2594,90,391,74
male,74,166,18,high,lose_weight,60,65,2126,150,257,54
male,66,177,41,moderate,build_muscle,83,90,2605,122,347,80
male,97,186,41,moderate,lose_weight,68,92,2211,197,210,64
male,74,174,19,low,gain_weight,76,83,2345,141,288,69
female,52,167,41,low,build_muscle,67,57,1704,113,220,40
male,62,170,23,moderate,build_muscle,67,163,2878,131,439,65
male,50,167,42,moderate,gain_weight,63,31,2389,104,363,57
male,79,182,34,moderate,gain_weight,97,70,3123,167,405,92
female,64,165,22,moderate,gain_weight,72,105,2482,117,371,58
female,99,172,45,moderate,build_muscle,110,173,2800,209,291,88
female,96,176,39,moderate,build_muscle,105,71,2836,190,368,66
male,69,153,38,high,build_muscle,73,156,2801,142,414,63
female,77,175,18,high,gain_weight,93,119,3137,145,475,72
female,71,181,48,low,gain_weight,81,138,2165,127,280,59
male,77,158,25,moderate,gain_weight,99,118,3025,147,444,72
male,76,171,23,low,gain_weight,87,152,2404,124,342,59
female,65,184,29,high,gain_weight,76,45,2904,122,451,67
female,84,167,24,high,build_muscle,97,109,3122,180,377,98
male,62,153,48,high,build_muscle,73,84,2629,122,393,62
female,90,174,23,moderate,build_muscle,101,124,2995,158,393,87
female,65,151,40,low,lose_weight,53,141,885,142,15,28
female,68,183,34,moderate,build_muscle,86,48,2713,148,337,85
male,57,178,37,low,lose_weight,41,154,1144,108,102,33
female,87,173,33,high,build_muscle,101,53,3195,147,416,104
male,87,180,33,low,lose_weight,54,63,1442,148,129,36
male,61,155,47,high,lose_weight,55,141,2094,122,289,49
female,67,163,33,low,build_muscle,73,60,1858,120,222,54
male,92,187,22,moderate,lose_weight,85,156,2755,159,334,86
female,53,189,32,moderate,build_muscle,62,118,2609,116,340,86
male,72,161,38,low,build_muscle,92,171,2140,153,270,49
male,84,164,42,high,gain_weight,101,62,3046,159,394,92
male,61,154,23,high,build_muscle,73,147,2865,132,422,71
female,69,177,22,moderate,gain_weight,87,108,2651,140,368,68
female,73,177,33,moderate,gain_weight,87,162,2559,124,367,65
female,71,153,25,moderate,build_muscle,78,69,2325,155,273,67
female,51,179,39,high,lose_weight,44,62,1415,98,150,46
male,59,172,49,moderate,lose_weight,39,85,1553,95,185,47
male,78,162,29,low,build_muscle,89,92,2260,162,263,62
male,95,173,21,high,build_muscle,121,154,3712,153,547,100
female,55,167,37,low,lose_weight,42,33,802,92,57,22
male,65,179,27,moderate,gain_weight,70,46,2794,111,442,64
female,82,169,37,low,build_muscle,94,158,2163,152,250,61
female,76,185,23,high,gain_weight,91,124,3133,138,487,70
female,67,151,32,high,build_muscle,83,93,2484,133,352,59
female,58,153,39,moderate,gain_weight,62,171,2082,103,265,67
female,66,155,42,low,lose_weight,59,36,854,115,41,25
male,78,183,46,high,build_muscle,86,123,3226,149,494,72
male,96,158,22,low,lose_weight,82,79,1446,164,115,36
female,83,177,46,moderate,build_muscle,94,79,2760,153,358,79
male,83,189,41,low,build_muscle,88,56,2523,175,285,75
male,66,180,36,high,build_muscle,79,35,3019,140,391,99
female,60,177,25,moderate,gain_weight,64,71,2520,112,368,66
female,61,152,46,low,lose_weight,51,149,953,133,49,24
male,89,166,41,moderate,lose_weight,82,64,2016,179,178,65
male,82,164,50,high,build_muscle,97,147,3060,177,387,88
female,58,157,41,high,build_muscle,72,101,2337,123,302,70
female,66,171,22,low,gain_weight,80,104,1998,140,223,60
male,54,182,48,moderate,gain_weight,58,33,2491,86,409,56
