foodname,calories,protein,fat,carbs,salt
"Hafer ganzes Korn, roh",343,11.375,7.09,53.7,0.02
Hafer Flocken,348,13.22,6.65,53.3,0.00495
"Gerste ganzes Korn, roh",332,11.244,2.1,62.6,0.045
Gerste Mehl,340,11.3,2.0,62.6,0.02
Mais roh,336,8.656,3.8,62.84,0.015
Mais Mehl,330,8.663,2.82,62.84,0.002
"Reis poliert, roh",351,7.931,0.62,77.1,0.03942
"Reis parboiled, poliert, roh",333,8.125,1.03,72.1,0.005
"Teigwaren eifrei, roh",346,12.4,1.6,68.833,0.0078
"Vollkornteigwaren eifrei, roh",356,14.3,2.93,62.9,0.01
Erdbeere roh,38,0.82,0.4,5.917,0.002
Himbeere roh,43,1.0,0.3,5.2,0.0012
Maulbeere roh,51,1.37,0.39,8.1,0.015
Rucola roh,21,3.6,0.4,0.0,0.075
"Stielmus/Rübstiel, roh",18,1.5,0.3,0.81,0.1
"Gemüsepaprika grün, roh",38,1.08,0.24,6.88,0.012
"Gemüsepaprika rot, roh",36,1.025,0.2,6.19,0.00312
"Kohlrübe/Steckrübe, roh",22,1.25,0.16,2.3,0.025
Knollensellerie roh,30,1.55,0.33,2.77,0.192
"Weiße Rübe/Wasserrübe/Herbstrübe, roh",40,0.99,0.22,6.58,0.145
"Alfalfasprossen/Alfalfakeimlinge, roh",29,4.0,0.69,0.3,0.015
"Linsensprossen/Linsenkeimlinge, roh",29,4.65,0.39,0.3,0.015
Tofu,115,15.51,5.63,0.0,0.032
Seidentofu,46,4.57,2.9,0.0,0.018
Roquefort mind. 50 % Fett i. Tr.,363,21.5,30.6,0.0,3.74
Gorgonzola mind. 48 % Fett i. Tr.,329,18.65,28.06,0.0,1.868
"Milchpulver mit hohem Fettgehalt (Sahnepulver, Rahmpulver)",586,21.6,42.0,28.3,0.675
Vollmilchpulver,483,24.687,26.2,35.1,0.928
Magermilchpulver,347,34.287,0.48,50.5,1.392
Buttermilchpulver,363,32.719,6.75,42.12,0.885
Kaffeeersatzpulver,279,3.97,0.08,51.25,0.2312
Zichorienkaffeepulver,304,6.8,1.6,51.25,0.39
Apfelwein,44,0.0,0.0,4.0,0.01
Obstbrand/Obstwasser,274,0.0,0.0,0.0,0.002
Wodka,225,0.0,0.0,0.0,0.002
"Rum 37,5/40 % vol",214,0.0,0.0,0.0,0.002
Honig,305,0.4,0.0,74.091,0.008
Blütenhonig (Nektarhonig),318,0.38,0.0,78.557,0.005
Hering roh,150,17.2,9.005,0.0,0.24
Bückling (Hering) heiß geräuchert,224,21.2,15.5,0.0,1.63
Sprotte geräuchert,243,19.4,18.4,0.0,1.962
Steinbutt roh,82,16.7,1.73,0.0,0.285
"Heilbutt/Weißer Heilbutt, roh",133,20.1,5.83,0.0,0.168
Karpfen roh,119,18.0,5.18,0.0,0.075
"Blei/Brachsen/Brasse, roh",96,16.6,3.31,0.0,0.082
"Barsch/Flussbarsch, roh",79,18.4,0.6,0.0,0.118
"Rotbarsch/Goldbarsch, roh",92,15.3,3.47,0.0,0.2
Hummer roh,81,15.9,1.9,0.0,0.675
"Garnele/Granat/Krabbe, roh",87,18.6,1.44,0.0,0.365
